,id:1-pv_input_voltage,id:1-pv_input_current,id:1-pv_output_voltage,id:1-pv_output_current,id:2-dcdc1_input_voltage,id:2-dcdc1_input_current,id:2-dcdc1_output_voltage,id:2-dcdc1_output_current,id:3-dcdc2_input_voltage,id:3-dcdc2_input_current,id:3-dcdc2_output_voltage,id:3-dcdc2_output_current,id:4-battery_voltage,id:4-battery_soc
151,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
152,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
153,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
154,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
155,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
156,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
157,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
158,39.63,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
159,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
160,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
161,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
162,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
163,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
164,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
165,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
166,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
167,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
168,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
169,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
170,39.65,0.01,0.93,0.84,0,0,0,0,0,0,0,0,0,0
171,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
172,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
173,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
174,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
175,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
176,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
177,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
178,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
179,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
180,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
181,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
182,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
183,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
184,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
185,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
186,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
187,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
188,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
189,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
190,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
191,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
192,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
193,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
194,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
195,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
196,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
197,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
198,39.65,0.01,0.95,0.82,0,0,0,0,0,0,0,0,0,0
